band5,band6,band7,band8,class
217,193,162,132,cloud
196,178,153,124,cloud
200,180,160,127,cloud
202,182,160,126,cloud
199,177,154,123,cloud
194,171,144,115,cloud
182,161,135,105,cloud
173,153,127,101,cloud
169,152,132,109,cloud
183,165,146,121,cloud
123,103,81,62,cloud
130,113,91,69,cloud
147,129,106,84,cloud
167,143,120,98,cloud
180,153,127,104,cloud
184,158,131,108,cloud
192,167,141,113,cloud
194,172,148,117,cloud
193,173,150,120,cloud
202,179,155,125,cloud
211,184,157,128,cloud
217,190,160,131,cloud
219,193,161,130,cloud
210,187,158,124,cloud
193,175,150,118,cloud
187,164,140,113,cloud
187,161,135,112,cloud
194,169,142,119,cloud
205,183,152,123,cloud
203,183,154,123,cloud
197,178,155,121,cloud
184,166,146,115,cloud
185,163,140,112,cloud
181,158,134,108,cloud
180,159,134,109,cloud
179,159,133,106,cloud
163,143,121,92,cloud
153,136,116,90,cloud
159,142,124,104,cloud
184,166,145,120,cloud
117,97,81,67,cloud
130,111,92,76,cloud
147,126,105,88,cloud
163,143,121,100,cloud
173,152,131,107,cloud
180,157,134,111,cloud
185,160,134,111,cloud
186,161,136,111,cloud
186,162,136,110,cloud
187,163,137,113,cloud
193,169,142,115,cloud
196,170,145,116,cloud
187,163,137,111,cloud
177,156,130,106,cloud
172,150,126,103,cloud
172,150,127,105,cloud
178,158,135,109,cloud
183,163,139,110,cloud
183,162,137,111,cloud
181,160,135,108,cloud
172,151,127,102,cloud
165,142,118,95,cloud
157,140,114,90,cloud
158,143,121,95,cloud
164,147,125,97,cloud
153,133,113,90,cloud
148,129,111,94,cloud
164,143,124,106,cloud
107,91,73,57,cloud
117,97,80,64,cloud
127,111,91,75,cloud
144,126,108,91,cloud
163,144,125,106,cloud
175,156,136,113,cloud
178,158,137,113,cloud
175,153,130,108,cloud
178,156,133,112,cloud
176,156,136,113,cloud
176,157,138,118,cloud
180,158,137,118,cloud
185,162,140,119,cloud
178,158,136,113,cloud
169,150,127,103,cloud
164,145,127,102,cloud
167,147,130,106,cloud
173,154,133,110,cloud
175,155,135,112,cloud
174,155,133,111,cloud
169,150,128,106,cloud
161,143,125,103,cloud
153,136,119,96,cloud
145,127,109,89,cloud
147,129,110,88,cloud
155,136,114,91,cloud
152,130,110,88,cloud
149,130,112,92,cloud
